country,year,life_expectancy,population,annual_co2_emissions_scaled,animal_protein_per_day_person_scaled,fat_per_day_person_scaled,carbs_per_day_person_scaled,fertility rate_scaled,rural population_by_pop_scaled,fixed_line_subscription_per_hundred_scaled,mobile_line_subscription_per_hundred_scaled
Czechia,2009.0,77.3,10421515.0,0.001579317824875,0.2957388297435608,0.5131393345744006,0.667492697847358,0.1979048816258118,0.201131340271318,0.259142967592018,0.198427825592821
Czechia,2010.0,77.6,10464750.0,0.0005717365791358,0.4651873940924663,0.3998022506925128,0.5383242454774494,0.1214609958796005,0.3303710403742737,0.2399060839519157,3.178454103809166e-05
Czechia,2011.0,77.8,10496379.0,0.0004410090889086,0.4183851539405148,0.3546018073886959,0.497822211270761,0.090802430337314,0.3300423809065036,0.2479172571230705,0.0001481332100786
Czechia,2012.0,78.0,10511065.0,0.0004261071511783,0.4049855041354972,0.3130163094085056,0.5105793007873553,0.0683148264543613,0.3299265546906094,0.2604739234320352,0.0005407251578541
Czechia,2013.0,78.2,10514547.0,0.0004069717408938,0.3751011582212083,0.2707122803934715,0.5785485609825772,0.0639849151477058,0.3300284982327549,0.274742898724159,0.0017840277281362
Czechia,2014.0,78.8,10517178.0,0.0004253601693086,0.4284328011545054,0.3154576561849648,0.6220369912355767,0.0565542286472519,0.3303550342679918,0.2917893131052525,0.0061881751822047
Czechia,2015.0,78.6,10523801.0,0.0004097977324111,0.3584433621885146,0.3508844893944555,0.7074415639954387,0.0526712759270898,0.3309284301434514,0.3122118215338627,0.0202194440726662
Czechia,2016.0,79.0,10527584.0,0.0004322942914405,0.3651396368825982,0.3479392579425771,0.7097562340657132,0.0515678469166841,0.3317786547172106,0.3321826581663119,0.0329896265299551
Czechia,2017.0,79.0,10531315.0,0.0003635934250494,0.4048028804447635,0.3714207055747681,0.6541084105741027,0.0511069208743627,0.3329005437064377,0.3470213600649396,0.0412820449328761
Czechia,2018.0,79.0,10534598.0,0.0003202691507813,0.4572179152997284,0.3494219675636908,0.679782057059601,0.0413157343389901,0.3343257633964058,0.3609896183540722,0.0657770017077496
Czechia,2019.0,79.2,10536876.0,0.0003405124673161,0.4668813402981427,0.3998483675779185,0.698979055636814,0.0265521335288777,0.3359408222192859,0.3539354878493044,0.1292056148879407
Czechia,2020.0,78.6,10530951.0,0.0003424563999896,0.5048205881089165,0.4317853683300859,0.6645312032570615,0.0205181926112158,0.3383865817481443,0.2912508453118301,0.2114916091444722
Denmark,1975.0,74.1,5058203.0,0.0003016100560479,0.6598757835628061,0.7681116603091607,0.5285622000497724,0.072072072072072,0.1270819815557355,0.5835150582357049,0.6537868944919402
Denmark,1976.0,73.8,5078773.0,0.0002868994481502,0.6370510210436994,0.7575646328213251,0.5456387108467154,0.0700188560653676,0.1231205727994279,0.5792865296813645,0.6534609245959423
Denmark,1977.0,74.7,5094605.0,0.0003020871266708,0.6335292385193815,0.7387602204497962,0.5703860967688367,0.0739856135204972,0.1192703307690333,0.5877619022444025,0.6478401353981528
Denmark,1978.0,74.4,5108931.0,0.0002994118798702,0.6635067380253875,0.7185521137257489,0.573439837146931,0.0621412109784202,0.1155905803100273,0.5893405215401123,0.6670294779990201
Denmark,1979.0,74.2,5119417.0,0.000293061644072,0.6793959199923963,0.72735546904143,0.5502958351241477,0.0671694950764718,0.1120612134887705,0.5499589795092736,0.6483510505096092
Denmark,1980.0,74.1,5125397.0,0.0002784425886454,0.6576672631202611,0.7267171105370489,0.531864648319834,0.0639849151477058,0.1086609453081482,0.5391327954031142,0.655963039514293
Denmark,1981.0,74.2,5126983.0,0.0002650353966932,0.6404442448260663,0.722137632451787,0.5565338338566882,0.0571408617920246,0.1054187055299935,0.5334123341390091,0.6520240633923335
Denmark,1982.0,74.6,5126402.0,0.0002520717555638,0.6573415890518203,0.7309539748173104,0.5255599185918657,0.0522382847964243,0.1023343495570402,0.5320612794401782,0.6402412954425034
Denmark,1983.0,74.5,5124341.0,0.0002451080777594,0.6436834889201474,0.7297808327456575,0.5220498559656238,0.045226621970808,0.0991443414559405,0.5184063970433387,0.591786146035417
Denmark,1984.0,74.6,5121317.0,0.0002497453789598,0.6316439930283213,0.7409154278003718,0.5170203751870485,0.0424191633493959,0.0965988618544185,0.5051458111483654,0.601686385872264
Denmark,1985.0,74.5,5119453.0,0.0002579830249044,0.6194246602987916,0.7508993188051905,0.519095292076139,0.0406173615475941,0.0939506624175164,0.4922954082783928,0.5935936206417115
Denmark,1986.0,74.6,5119368.0,0.0002629734300975,0.6215665386036615,0.7833732440590839,0.5157870784443398,0.0360500034918639,0.0914273909871174,0.4719009638524267,0.6092322681458909
Denmark,1987.0,74.7,5121515.0,0.0002183374880267,0.6223310087400582,0.7439947087518608,0.5459921152544879,0.0403380124310356,0.0890321632288501,0.4652931330481871,0.6379331177009787
Denmark,1988.0,74.8,5126107.0,2.6757429907751784e-05,0.1378312296296644,0.1273157052665057,0.6671116933036091,0.8315664501711013,0.8671182775261969,0.0020767692378792,0.0
Denmark,1989.0,74.9,5133937.0,2.280319913188302e-05,0.1163890733657695,0.1102768437456527,0.6187373643127482,0.8220266778406313,0.8626490784199886,0.0020159636799944,0.0
Denmark,1990.0,74.9,5144626.0,3.04789367292873e-05,0.1415352238751376,0.1278163367502317,0.5654107735904114,0.7993854319435714,0.8534411991124692,0.0023286267575615,0.0
Denmark,1991.0,75.2,5158325.0,4.352288515140271e-05,0.1386644986856462,0.1327552025083347,0.5681507310892685,0.7870661359033452,0.8486909845198942,0.0023354026003831,0.0
Denmark,1992.0,75.3,5175466.0,2.762861949121096e-05,0.1395790832663436,0.1299281596392546,0.5737251612192943,0.7747887422306026,0.8438573594598467,0.0022934367958834,0.0
Denmark,1993.0,75.2,5193776.0,2.7326511438261007e-05,0.1344233203435044,0.1101222335602024,0.4907473764154076,0.7630979817026329,0.8389309708858138,0.0022458743837298,0.0
Denmark,1994.0,75.4,5213801.0,1.7538999464977608e-05,0.1315281193143578,0.1128044772527726,0.5718666907298963,0.7524268454501012,0.8339100941127304,0.0022067411287991,0.0
Denmark,1995.0,75.3,5235205.0,2.336332766669831e-05,0.1305335278181937,0.1151515457624553,0.5571425701890625,0.7430127802220825,0.8287955238234574,0.0023091593114544,0.0
Denmark,1996.0,75.7,5256002.0,2.839693376077596e-05,0.1283541990553009,0.11131272813063,0.5551894005664467,0.7350932327676514,0.8235985859639334,0.0023614641571153,0.0
Denmark,1997.0,76.0,5277385.0,3.066392935115591e-05,0.132789182427203,0.1085869649626226,0.5540695097157845,0.7286961379984634,0.8182958556765321,0.0024238359379937,0.0
Denmark,1998.0,76.4,5298991.0,3.458277961392094e-05,0.1295906263873605,0.1071787701472877,0.5084016500587959,0.7258747119212234,0.8129103564094281,0.0025116195912078,0.0
Denmark,1999.0,76.6,5319856.0,3.4673846681566754e-05,0.1310249929850668,0.1057440868936605,0.4545033685199288,0.7157064040784971,0.8074107420957337,0.0024895524228129,0.0
Denmark,2000.0,76.8,5340662.0,2.496594086276676e-05,0.1255774925936412,0.1072176412875585,0.4578890465333692,0.7104406732313708,0.8018481432445744,0.0026317362578073,0.0
Denmark,2001.0,77.0,5360753.0,2.506946661719148e-05,0.1248748009305442,0.1084035582443783,0.4584673613825337,0.7082757175780432,0.7961715382191897,0.0029043426489337,0.0
Denmark,2002.0,77.1,5378700.0,2.724218770225141e-05,0.1198801084194395,0.1039584639788221,0.4102899133616399,0.7028284098051539,0.7904109650534299,0.003243938525545,0.0
Denmark,2003.0,77.4,5396355.0,2.6450735871525592e-05,0.1200524789143731,0.0987668715166329,0.4151893054993116,0.6969620783574271,0.7845572835029814,0.0031707880888363,0.0
Denmark,2004.0,77.8,5415583.0,2.7141383982119897e-05,0.1164126743759083,0.0977926949061047,0.4143670054481134,0.6915008031287101,0.7786193366843372,0.002924839436705,0.0
Denmark,2005.0,78.2,5436314.0,3.363912847440954e-05,0.109740744660555,0.093868252754576,0.3857995767059146,0.6844193030239542,0.7756509659025616,0.0027421796511056,1.0089012284103684e-05
Denmark,2006.0,78.2,5457863.0,3.4725353373661364e-05,0.1064714025537495,0.0983237623769365,0.3779370953034229,0.678259655003841,0.7729430277574658,0.0029247060643103,4.2354076507945136e-05
Denmark,2007.0,78.3,5479722.0,3.615049770026665e-05,0.1045454544683479,0.093550018599577,0.3779210872245564,0.6701724980794748,0.7702133976700429,0.0030113331304993,7.258776176887332e-05
Denmark,2008.0,78.7,5502752.0,4.3770386942001846e-05,0.1102653394515791,0.0985821275180088,0.3723683692014989,0.6579090718625602,0.7674737722460259,0.0031979647657048,0.0001253553971062
